,entrada,cenario,rodada,tempo_desconectado,tempo_conectado_sem_link,tempo_sem_link
160,"(5, 6)",SimulacaoCenario1Deterministico,16.0,0.7340847076698513,0.24041377160541552,0.974498479275267
161,"(5, 6)",SimulacaoCenario1Deterministico,16.0,0.7123862004268167,0.26096669478374046,0.9733528952105571
162,"(5, 6)",SimulacaoCenario1Deterministico,16.0,0.6594651886028702,0.32071059579471123,0.9801757843975817
163,"(5, 6)",SimulacaoCenario1Deterministico,16.0,0.7306010312242802,0.260810742279246,0.9914117735035263
164,"(5, 6)",SimulacaoCenario1Deterministico,16.0,0.5837180855375131,0.38111451509042804,0.9648326006279411
165,"(5, 6)",SimulacaoCenario1Deterministico,16.0,0.7217907310445919,0.2581013648049961,0.979892095849588
166,"(5, 6)",SimulacaoCenario1Deterministico,16.0,0.7744364852487202,0.21027914309425633,0.9847156283429765
167,"(5, 6)",SimulacaoCenario1Deterministico,16.0,0.6751662523785681,0.32059836703689165,0.9957646194154596
168,"(5, 6)",SimulacaoCenario1Deterministico,16.0,0.6830910298518776,0.2939262254687318,0.9770172553206095
169,"(5, 6)",SimulacaoCenario1Deterministico,16.0,0.7207121454629516,0.2511785385218365,0.9718906839847882
170,"(5, 6)",SimulacaoCenario1Deterministico,17.0,0.684168637151217,0.2831767815131555,0.9673454186643725
171,"(5, 6)",SimulacaoCenario1Deterministico,17.0,0.7772112496332907,0.196174821291573,0.9733860709248638
172,"(5, 6)",SimulacaoCenario1Deterministico,17.0,0.6793424563831844,0.30654016318745925,0.9858826195706435
173,"(5, 6)",SimulacaoCenario1Deterministico,17.0,0.6843802964577264,0.2902650660733891,0.9746453625311153
174,"(5, 6)",SimulacaoCenario1Deterministico,17.0,0.6743842269096638,0.300470118513649,0.9748543454233127
175,"(5, 6)",SimulacaoCenario1Deterministico,17.0,0.7042483762363897,0.2844786434999679,0.9887270197363576
176,"(5, 6)",SimulacaoCenario1Deterministico,17.0,0.7293184221038576,0.2609193023706311,0.9902377244744887
177,"(5, 6)",SimulacaoCenario1Deterministico,17.0,0.7335540685140193,0.22764845600940314,0.9612025245234225
178,"(5, 6)",SimulacaoCenario1Deterministico,17.0,0.6553149483221049,0.31577835703585244,0.9710933053579573
179,"(5, 6)",SimulacaoCenario1Deterministico,17.0,0.7210262395586633,0.2623647787085377,0.9833910182672009
180,"(5, 6)",SimulacaoCenario1Deterministico,18.0,0.6597302672721812,0.30693860257318206,0.9666688698453633
181,"(5, 6)",SimulacaoCenario1Deterministico,18.0,0.6522258025036006,0.338804285330119,0.9910300878337197
182,"(5, 6)",SimulacaoCenario1Deterministico,18.0,0.7269462633915424,0.26580906944912236,0.9927553328406649
183,"(5, 6)",SimulacaoCenario1Deterministico,18.0,0.7082055878566439,0.2799968751801919,0.9882024630368358
184,"(5, 6)",SimulacaoCenario1Deterministico,18.0,0.6921779647821394,0.2917723725060009,0.9839503372881404
185,"(5, 6)",SimulacaoCenario1Deterministico,18.0,0.6712745505943756,0.3104382244496513,0.9817127750440269
186,"(5, 6)",SimulacaoCenario1Deterministico,18.0,0.7349775600636806,0.2417691084002836,0.9767466684639643
187,"(5, 6)",SimulacaoCenario1Deterministico,18.0,0.661685845009364,0.30705294102310265,0.9687387860324665
188,"(5, 6)",SimulacaoCenario1Deterministico,18.0,0.7472139025803787,0.24668022492232067,0.9938941275026993
189,"(5, 6)",SimulacaoCenario1Deterministico,18.0,0.7061777900908804,0.28721468771800607,0.9933924778088866
190,"(5, 6)",SimulacaoCenario1Deterministico,19.0,0.7418031344773232,0.24823002734866648,0.9900331618259897
191,"(5, 6)",SimulacaoCenario1Deterministico,19.0,0.7417551845499545,0.23667824037188873,0.978433424921843
192,"(5, 6)",SimulacaoCenario1Deterministico,19.0,0.6748974459416436,0.3160882071010305,0.990985653042674
193,"(5, 6)",SimulacaoCenario1Deterministico,19.0,0.6717187547602584,0.2934297455329056,0.9651485002931639
194,"(5, 6)",SimulacaoCenario1Deterministico,19.0,0.7935188828858261,0.1933091862432857,0.9868280691291118
195,"(5, 6)",SimulacaoCenario1Deterministico,19.0,0.6640961809884101,0.3259312203960017,0.9900274013844116
196,"(5, 6)",SimulacaoCenario1Deterministico,19.0,0.7734952857817401,0.21601154812420914,0.9895068339059493
197,"(5, 6)",SimulacaoCenario1Deterministico,19.0,0.7108925648383627,0.26846625807353647,0.9793588229118991
198,"(5, 6)",SimulacaoCenario1Deterministico,19.0,0.7276919107484957,0.25470388877499406,0.9823957995234898
199,"(5, 6)",SimulacaoCenario1Deterministico,19.0,0.7412184756627236,0.22778415085600176,0.9690026265187253
200,"(5, 6)",SimulacaoCenario1Deterministico,20.0,0.7253573771679983,0.2642568011290672,0.9896141782970652
201,"(5, 6)",SimulacaoCenario1Deterministico,20.0,0.6884624544731138,0.28557639914308025,0.9740388536161939
202,"(5, 6)",SimulacaoCenario1Deterministico,20.0,0.737436753616614,0.24653640176424457,0.9839731553808584
203,"(5, 6)",SimulacaoCenario1Deterministico,20.0,0.6808796381563266,0.29154088212985896,0.9724205202861853
204,"(5, 6)",SimulacaoCenario1Deterministico,20.0,0.7369944720328289,0.2509996446958251,0.9879941167286541
205,"(5, 6)",SimulacaoCenario1Deterministico,20.0,0.74747806663749,0.2261390158687622,0.9736170825062522
206,"(5, 6)",SimulacaoCenario1Deterministico,20.0,0.678130129523548,0.31170835475475706,0.9898384842783052
207,"(5, 6)",SimulacaoCenario1Deterministico,20.0,0.7650306190852785,0.2160601827252823,0.9810908018105607
208,"(5, 6)",SimulacaoCenario1Deterministico,20.0,0.70301067461868,0.26945898327969364,0.9724696578983736
209,"(5, 6)",SimulacaoCenario1Deterministico,20.0,0.7619145921051576,0.220493846706812,0.9824084388119695
210,"(5, 6)",SimulacaoCenario1Deterministico,21.0,0.7537521837083424,0.23407498771249002,0.9878271714208325
211,"(5, 6)",SimulacaoCenario1Deterministico,21.0,0.7518478288991068,0.24783824062347007,0.999686069522577
212,"(5, 6)",SimulacaoCenario1Deterministico,21.0,0.7889634050661539,0.20467243887415273,0.9936358439403067
213,"(5, 6)",SimulacaoCenario1Deterministico,21.0,0.6877740937461273,0.2802725634844815,0.9680466572306088
214,"(5, 6)",SimulacaoCenario1Deterministico,21.0,0.729012200875125,0.24568734137019957,0.9746995422453246
215,"(5, 6)",SimulacaoCenario1Deterministico,21.0,0.6390579273491733,0.3496513374271608,0.9887092647763341
216,"(5, 6)",SimulacaoCenario1Deterministico,21.0,0.7215449923943718,0.2699305848161222,0.991475577210494
217,"(5, 6)",SimulacaoCenario1Deterministico,21.0,0.6299252230216775,0.3518690841502646,0.9817943071719419
218,"(5, 6)",SimulacaoCenario1Deterministico,21.0,0.6927702863881666,0.2989297042775422,0.9916999906657089
219,"(5, 6)",SimulacaoCenario1Deterministico,21.0,0.7571183299021932,0.23907088694502374,0.9961892168472171
220,"(5, 6)",SimulacaoCenario1Deterministico,22.0,0.786673236822175,0.19954818292395118,0.9862214197461261
221,"(5, 6)",SimulacaoCenario1Deterministico,22.0,0.691878570058585,0.2831320547032696,0.9750106247618545
222,"(5, 6)",SimulacaoCenario1Deterministico,22.0,0.7244073823673145,0.2644329141741491,0.9888402965414635
223,"(5, 6)",SimulacaoCenario1Deterministico,22.0,0.7337532247423367,0.25402317180766015,0.9877763965499969
224,"(5, 6)",SimulacaoCenario1Deterministico,22.0,0.7561850550381759,0.23241831085784825,0.9886033658960244
225,"(5, 6)",SimulacaoCenario1Deterministico,22.0,0.7231504158955974,0.2637750392786973,0.9869254551742945
226,"(5, 6)",SimulacaoCenario1Deterministico,22.0,0.7083527318143059,0.2710264790995693,0.9793792109138751
227,"(5, 6)",SimulacaoCenario1Deterministico,22.0,0.7192160569264437,0.27189962133715384,0.9911156782635975
228,"(5, 6)",SimulacaoCenario1Deterministico,22.0,0.6302888833932075,0.33323425586172684,0.9635231392549342
229,"(5, 6)",SimulacaoCenario1Deterministico,22.0,0.680124310367672,0.3063112119262468,0.9864355222939187
230,"(5, 6)",SimulacaoCenario1Deterministico,23.0,0.622047427007044,0.3614559269298181,0.9835033539368621
231,"(5, 6)",SimulacaoCenario1Deterministico,23.0,0.780521262170832,0.21635376054169791,0.9968750227125299
232,"(5, 6)",SimulacaoCenario1Deterministico,23.0,0.7349515293853476,0.2559782542205552,0.9909297836059029
233,"(5, 6)",SimulacaoCenario1Deterministico,23.0,0.7218234861873669,0.26520675370948515,0.9870302398968521
234,"(5, 6)",SimulacaoCenario1Deterministico,23.0,0.6863440129553888,0.29613862982790357,0.9824826427832924
235,"(5, 6)",SimulacaoCenario1Deterministico,23.0,0.6630155307054721,0.294789238798187,0.9578047695036591
236,"(5, 6)",SimulacaoCenario1Deterministico,23.0,0.7682081119963413,0.19761836989614165,0.965826481892483
237,"(5, 6)",SimulacaoCenario1Deterministico,23.0,0.7014726306357291,0.28222997051876586,0.9837026011544951
238,"(5, 6)",SimulacaoCenario1Deterministico,23.0,0.7190543265291862,0.27049646095791724,0.9895507874871037
239,"(5, 6)",SimulacaoCenario1Deterministico,23.0,0.7023849490864446,0.2666811344851809,0.9690660835716254
240,"(5, 6)",SimulacaoCenario1Deterministico,24.0,0.7889436016467193,0.20391855188773675,0.9928621535344561
241,"(5, 6)",SimulacaoCenario1Deterministico,24.0,0.7632271660752871,0.20532721465393866,0.9685543807292258
